DATE,NAV,SHARES_OUTSTANDING,TOTAL_NET_ASSETS,TOTAL_EXPENSE_RATIO
20250905,26.3042,53250000.0,1400700634.48,0.0085
20250910,26.6314,53050000.0,1412795663.54,0.0085
20250911,26.7392,53425000.0,1428540609.59,0.0085
20250912,26.9556,53425000.0,1440105489.98,0.0085
20250915,26.9207,53425000.0,1438236667.28,0.0085
20250916,27.1336,53575000.0,1453685157.62,0.0085
20250918,27.0664,53750000.0,1454818817.69,0.0085
20250919,27.1239,53750000.0,1457908844.72,0.0085
20250922,27.1316,53750000.0,1458322687.15,0.0085
20250923,27.2755,53925000.0,1470829937.32,0.0085
20250924,27.311,53925000.0,1472746321.8,0.0085
20250925,27.2833,54875000.0,1497170564.71,0.0085
20250926,27.2292,54875000.0,1494202332.11,0.0085
20250929,27.1726,55075000.0,1504299345.93,0.0085
20250930,27.2635,55175000.0,1504265571.73,0.0085
20251001,27.2716,55425000.0,1511527674.95,0.0085
20251002,27.4162,55750000.0,1528453511.34,0.0085
20251003,27.4272,55750000.0,1529067103.93,0.0085
20251006,27.564,60675000.0,1672442951.54,0.0085
20251007,28.0821,63000000.0,1769169209.71,0.0085
20251008,28.1323,63100000.0,1775145460.81,0.0085
20251009,28.5159,63100000.0,1799351076.47,0.0085
20251010,28.1472,63100000.0,1776086066.46,0.0085
20251013,27.1019,65350000.0,1771111686.27,0.0085
20251014,27.9753,65350000.0,1828182965.82,0.0085
20251015,27.9822,65700000.0,1838432369.64,0.0085
20251016,28.1073,65150000.0,1831192173.63,0.0085
20251017,28.3244,65150000.0,1845335937.85,0.0085
20251020,28.1827,65150000.0,1836102731.25,0.0085
20251021,28.645,64925000.0,1859777065.77,0.0085
20251022,28.3902,64925000.0,1843231501.53,0.0085
20251023,28.2667,64925000.0,1835212351.37,0.0085
20251024,28.4147,64925000.0,1844827080.06,0.0085
20251027,28.5256,65075000.0,1856301870.45,0.0085
20251028,28.5419,65075000.0,1857366371.13,0.0085
20251029,28.4703,65325000.0,1859820874.92,0.0085
20251030,28.4088,66500000.0,1889183469.66,0.0085
20251031,28.3762,66500000.0,1887016523.5,0.0085
20251103,28.3126,66700000.0,1888450155.23,0.0085
20251104,28.3798,66700000.0,1892930468.71,0.0085
20251105,28.0584,66800000.0,1874298692.63,0.0085
20251106,28.1764,67775000.0,1909658049.45,0.0085
20251107,28.0774,67775000.0,1902947608.89,0.0085
20251110,28.143,67775000.0,1907390631.49,0.0085
20251111,28.5213,67775000.0,1933030009.44,0.0085
20251112,28.6136,67775000.0,1939283593.8,0.0085
20251113,28.9164,67775000.0,1959810080.04,0.0085
20251114,28.6415,67325000.0,1928287187.08,0.0085
20251117,28.4187,67325000.0,1913290262.94,0.0085
20251118,28.3603,67325000.0,1909358047.24,0.0085
20251119,28.298,67325000.0,1905159501.29,0.0085
20251120,28.4908,67925000.0,1935236609.65,0.0085
20251121,28.4471,67925000.0,1932269362.13,0.0085
20251124,28.4519,68225000.0,1941128698.85,0.0085
20251125,28.6446,68225000.0,1954279847.16,0.0085
20251126,28.7375,68225000.0,1960614036.22,0.0085
20251128,28.9001,68775000.0,1987607159.62,0.0085
20251201,28.9193,68775000.0,1988921905.6,0.0085
20251202,28.6862,68775000.0,1972893893.04,0.0085
20251203,28.7314,69325000.0,1991804175.09,0.0085
20251204,28.7519,69675000.0,2003287927.07,0.0085
20251205,28.6522,70125000.0,2009237616.55,0.0085
20251208,28.6729,70125000.0,2010686600.07,0.0085
20251209,28.662,70125000.0,2009924373.91,0.0085
20251210,28.7961,70225000.0,2022204729.71,0.0085
20251211,28.8915,69475000.0,2007240326.18,0.0085
20251212,29.0235,69475000.0,2016409175.67,0.0085
20251215,28.9421,69625000.0,2015097054.86,0.0085
20251216,28.8817,70100000.0,2024607343.89,0.0085
20251217,28.7983,70100000.0,2018757565.49,0.0085
20251218,28.8801,71300000.0,2059148522.46,0.0085
20251219,28.9178,71300000.0,2061842472.69,0.0085
20251222,29.3022,71300000.0,2089249831.22,0.0085
20251223,29.3745,71375000.0,2096602686.75,0.0085
20251224,29.4396,71375000.0,2101249233.07,0.0085
20251226,29.4167,71750000.0,2110651138.44,0.0085
20251229,29.6162,71750000.0,2124960832.76,0.0085
20251230,28.0943,71750000.0,2099567451.25,0.0085
20251231,28.1665,71750000.0,2020949127.03,0.0085
20260102,28.0493,72925000.0,2045495191.08,0.0085
20260105,28.1175,74800000.0,2103192525.75,0.0085
20260106,28.3303,74800000.0,2119109463.05,0.0085
20260107,28.4074,75750000.0,2151856778.08,0.0085
20260108,28.3246,75750000.0,2145586030.9,0.0085
20260109,28.2405,76150000.0,2150516749.44,0.0085
20260112,28.4539,77000000.0,2190951319.15,0.0085
20260113,28.8507,77000000.0,2221503325.15,0.0085
20260114,28.7974,77000000.0,2217396867.54,0.0085
20260115,28.8684,77325000.0,2232248336.21,0.0085
20260116,28.849,77625000.0,2239402616.23,0.0085
20260120,28.6815,78175000.0,2242176747.88,0.0085
20260121,28.7403,78050000.0,2243178949.88,0.0085
20260122,29.1979,78150000.0,2281817888.31,0.0085
20260123,29.4689,78150000.0,2302996258.52,0.0085
20260126,29.3357,78725000.0,2309451910.33,0.0085
20260127,29.3084,78850000.0,2310967541.99,0.0085
20260128,29.7541,79275000.0,2358759779.96,0.0085
20260129,29.9883,80875000.0,2425299751.51,0.0085
20260130,30.1027,80875000.0,2434558998.14,0.0085
20260202,29.0732,81350000.0,2365101625.21,0.0085
20260203,29.0663,81350000.0,2364545544.3,0.0085
20260205,29.6709,80475000.0,2387769514.64,0.0085
20260206,29.239,80475000.0,2353005296.21,0.0085
20260209,30.149,80825000.0,2436789564.18,0.0085
20260210,30.5805,80825000.0,2471671425.48,0.0085
20260211,30.4453,81150000.0,2470639850.46,0.0085
20260212,30.5504,81500000.0,2489857677.7,0.0085
20260218,30.1831,82400000.0,2487088004.91,0.0085
20260220,30.5361,82700000.0,2525335509.75,0.0085
20260223,30.9014,83600000.0,2583359721.1,0.0085
20260224,30.8905,83600000.0,2582444477.38,0.0085
20260225,31.0221,93250000.0,2892809306.66,0.0085
20260226,31.3382,99650000.0,3122847657.24,0.0085
20260227,31.1957,99650000.0,3108654481.19,0.0085
20260303,31.2198,101700000.0,3175054660.59,0.0085
20260305,30.5299,104500000.0,3190377301.24,0.0085
20260306,30.2564,104750000.0,3169359387.15,0.0085
20260512,31.0111,117550000.0,3645355603.0,0.0085
20260513,31.0822,117550000.0,3653710500.0,0.0085
20260514,31.1315,117625000.0,3661842537.0,0.0085
20260515,31.1862,118550000.0,3697129090.0,0.0085
20260518,31.3974,118950000.0,3734718148.0,0.0085
20260519,31.304,119600000.0,3743963933.0,0.0085
20260520,31.0856,120950000.0,3759807154.0,0.0085
20260521,31.0848,123300000.0,3832753553.0,0.0085
20260522,31.1137,123300000.0,3836315627.0,0.0085
20260526,31.1586,124000000.0,3863661440.0,0.0085
20260527,30.9322,124975000.0,3865748820.0,0.0085
